Staff_ID,Staff_Type,Shift_Date,Shift_Start_Time,Shift_End_Time,Current_Assignment,Hours_Worked,Patients_Assigned,Overtime_Hours,Shift_Start_Time_Parsed,Shift_End_Time_Parsed,Shift_Duration_Hours,Flag_HoursExceedShift,Expected_OT
S001,Surgeon,2024-10-22,06:00 PM,07:00 PM,ER,8,9,1,18:00:00,19:00:00,1.0,True,0
S002,Nurse,2024-10-03,08:00 AM,06:00 PM,General Ward,9,3,0,08:00:00,18:00:00,10.0,False,1
S003,Technician,2024-10-15,08:00 AM,06:00 PM,ER,8,6,4,08:00:00,18:00:00,10.0,False,0
S004,Surgeon,2024-10-09,07:00 AM,06:00 PM,General Ward,11,6,3,07:00:00,18:00:00,11.0,False,3
S005,Surgeon,2024-10-12,07:00 AM,06:00 AM,General Ward,9,5,3,07:00:00,06:00:00,23.0,False,1
S006,Surgeon,2024-10-05,06:00 PM,07:00 PM,General Ward,10,5,2,18:00:00,19:00:00,1.0,True,2
S007,Nurse,2024-10-18,07:00 AM,06:00 PM,ER,11,8,1,07:00:00,18:00:00,11.0,False,3
S008,Nurse,2024-10-08,07:00 AM,07:00 PM,ICU,8,7,0,07:00:00,19:00:00,12.0,False,0
S009,Technician,2024-10-22,08:00 AM,06:00 PM,General Ward,11,6,2,08:00:00,18:00:00,10.0,True,3
S010,Surgeon,2024-10-03,08:00 AM,07:00 PM,ICU,9,5,3,08:00:00,19:00:00,11.0,False,1
S011,Technician,2024-10-20,06:00 PM,07:00 PM,ER,8,4,1,18:00:00,19:00:00,1.0,True,0
S012,Nurse,2024-10-01,08:00 AM,07:00 PM,ICU,11,9,1,08:00:00,19:00:00,11.0,False,3
S013,Surgeon,2024-10-27,06:00 PM,07:00 PM,General Ward,11,4,4,18:00:00,19:00:00,1.0,True,3
S014,Nurse,2024-10-10,06:00 PM,06:00 PM,General Ward,8,8,3,18:00:00,18:00:00,0.0,True,0
S015,Surgeon,2024-10-02,08:00 AM,07:00 PM,ER,8,9,3,08:00:00,19:00:00,11.0,False,0
S016,Nurse,2024-10-27,07:00 AM,06:00 PM,ER,8,3,2,07:00:00,18:00:00,11.0,False,0
S017,Nurse,2024-10-23,06:00 PM,06:00 PM,ICU,11,2,3,18:00:00,18:00:00,0.0,True,3
S018,Technician,2024-10-12,08:00 AM,07:00 PM,ICU,11,4,3,08:00:00,19:00:00,11.0,False,3
S019,Technician,2024-10-10,07:00 AM,06:00 AM,ICU,9,4,0,07:00:00,06:00:00,23.0,False,1
S020,Nurse,2024-10-09,06:00 PM,06:00 AM,General Ward,10,4,1,18:00:00,06:00:00,12.0,False,2
S021,Surgeon,2024-10-16,06:00 PM,06:00 AM,ICU,9,6,0,18:00:00,06:00:00,12.0,False,1
S022,Technician,2024-10-05,06:00 PM,07:00 PM,General Ward,9,4,3,18:00:00,19:00:00,1.0,True,1
S023,Surgeon,2024-10-07,08:00 AM,06:00 PM,ER,11,5,2,08:00:00,18:00:00,10.0,True,3
S024,Nurse,2024-10-28,07:00 AM,07:00 PM,ER,8,5,4,07:00:00,19:00:00,12.0,False,0
S025,Technician,2024-10-16,06:00 PM,07:00 PM,ICU,8,6,0,18:00:00,19:00:00,1.0,True,0
S026,Nurse,2024-10-18,07:00 AM,06:00 AM,General Ward,10,2,0,07:00:00,06:00:00,23.0,False,2
S027,Surgeon,2024-10-27,08:00 AM,06:00 AM,ICU,10,8,2,08:00:00,06:00:00,22.0,False,2
S028,Technician,2024-10-20,07:00 AM,06:00 PM,ER,11,2,3,07:00:00,18:00:00,11.0,False,3
S029,Technician,2024-10-13,07:00 AM,07:00 PM,ER,11,2,4,07:00:00,19:00:00,12.0,False,3
S030,Surgeon,2024-10-11,08:00 AM,06:00 AM,General Ward,9,7,0,08:00:00,06:00:00,22.0,False,1
S031,Nurse,2024-10-01,08:00 AM,07:00 PM,ER,10,6,2,08:00:00,19:00:00,11.0,False,2
S032,Surgeon,2024-10-26,08:00 AM,07:00 PM,General Ward,10,5,0,08:00:00,19:00:00,11.0,False,2
S033,Nurse,2024-10-02,06:00 PM,06:00 PM,General Ward,11,8,3,18:00:00,18:00:00,0.0,True,3
S034,Nurse,2024-10-15,06:00 PM,06:00 PM,ER,9,6,3,18:00:00,18:00:00,0.0,True,1
S035,Surgeon,2024-10-14,08:00 AM,06:00 PM,General Ward,11,6,0,08:00:00,18:00:00,10.0,True,3
